algorithm,heuristic,grid_width,obstacle_density,path_cost,path_cost,optimality_gap,optimality_gap,nodes_expanded,nodes_expanded,runtime_ms,runtime_ms
,,,,mean,median,mean,median,mean,median,mean,median
astar,manhattan,10,0.1,18.0,18.0,1.0,1.0,81.66666666666667,82.0,0.0,0.0
astar,manhattan,10,0.2,18.0,18.0,1.0,1.0,64.33333333333333,65.0,0.0,0.0
astar,manhattan,10,0.3,18.0,18.0,1.0,1.0,36.5,36.5,0.0,0.0
astar,manhattan,20,0.1,38.0,38.0,1.0,1.0,304.3333333333333,308.0,0.0,0.0
astar,manhattan,20,0.2,38.0,38.0,1.0,1.0,224.5,224.5,0.0,0.0
astar,manhattan,20,0.3,38.0,38.0,1.0,1.0,98.0,98.0,0.0,0.0
astar,manhattan,30,0.1,58.0,58.0,1.0,1.0,674.6666666666666,704.0,0.0,0.0
astar,manhattan,30,0.2,58.0,58.0,1.0,1.0,418.3333333333333,409.0,0.0,0.0
astar,manhattan,30,0.3,60.0,60.0,1.0,1.0,322.0,322.0,0.0,0.0
astar,weighted,10,0.1,18.0,18.0,1.0,1.0,22.0,20.0,0.0,0.0
astar,weighted,10,0.2,18.0,18.0,1.0,1.0,22.0,22.0,0.0,0.0
astar,weighted,10,0.3,18.0,18.0,1.0,1.0,19.5,19.5,0.0,0.0
astar,weighted,20,0.1,39.0,39.0,1.0263157894736843,1.026315789473684,41.833333333333336,41.5,0.0,0.0
astar,weighted,20,0.2,42.0,42.0,1.105263157894737,1.105263157894737,57.25,57.5,0.0,0.0
astar,weighted,20,0.3,38.0,38.0,1.0,1.0,50.0,50.0,0.0,0.0
astar,weighted,30,0.1,61.333333333333336,62.0,1.0574712643678161,1.0689655172413792,67.16666666666667,67.0,0.0,0.0
astar,weighted,30,0.2,61.333333333333336,61.0,1.0574712643678161,1.0517241379310345,114.16666666666667,122.0,0.0,0.0
astar,weighted,30,0.3,63.0,63.0,1.05,1.05,262.5,262.5,0.0,0.0
bfs,manhattan,10,0.1,18.0,18.0,,,89.66666666666667,90.0,0.0,0.0
bfs,manhattan,10,0.2,18.0,18.0,,,78.66666666666667,79.0,0.0,0.0
bfs,manhattan,10,0.3,18.0,18.0,,,65.5,65.5,0.0,0.0
bfs,manhattan,20,0.1,38.0,38.0,,,360.0,360.0,0.0,0.0
bfs,manhattan,20,0.2,38.0,38.0,,,318.5,318.5,0.0,0.0
bfs,manhattan,20,0.3,38.0,38.0,,,259.0,259.0,0.0,0.0
bfs,manhattan,30,0.1,58.0,58.0,,,810.0,810.0,0.0,0.0
bfs,manhattan,30,0.2,58.0,58.0,,,717.0,718.0,0.0,0.0
bfs,manhattan,30,0.3,60.0,60.0,,,618.0,618.0,0.0,0.0
mcts,none,10,0.1,80.0,84.0,4.444444444444445,4.666666666666667,1000.0,1000.0,49.333333333333336,51.0
mcts,none,10,0.2,54.0,54.0,3.0,3.0,1000.0,1000.0,44.666666666666664,45.0
mcts,none,10,0.3,52.0,52.0,2.888888888888889,2.888888888888889,1000.0,1000.0,45.0,45.0
