algorithm,heuristic,grid_width,obstacle_density,reason,count
bfs,manhattan,10,0.3,no_path,1
astar,manhattan,10,0.3,no_path,1
astar,weighted,10,0.3,no_path,2
mcts,none,10,0.3,timeout,2
mcts,none,20,0.1,timeout,3
mcts,none,20,0.2,timeout,3
bfs,manhattan,20,0.2,no_path,1
astar,manhattan,20,0.2,no_path,1
astar,weighted,20,0.2,no_path,2
mcts,none,20,0.3,timeout,3
bfs,manhattan,20,0.3,no_path,2
astar,manhattan,20,0.3,no_path,2
astar,weighted,20,0.3,no_path,4
mcts,none,30,0.1,timeout,3
mcts,none,30,0.2,timeout,3
bfs,manhattan,30,0.3,no_path,2
astar,manhattan,30,0.3,no_path,2
astar,weighted,30,0.3,no_path,4
mcts,none,30,0.3,timeout,3
